"","HUC","Stressor","simulation","dose","sys.cap"
"496","0401010502","StressorA","95",0.699999257074527,0.531078003090609
"497","0401010502","StressorA","96",0.700000576587024,0.53107787347913
"498","0401010502","StressorA","97",0.700001068572125,0.531077825153075
"499","0401010502","StressorA","98",0.699999435279331,0.531077985586108
"500","0401010502","StressorA","99",0.699999903236087,0.531077939620201
"501","0401010502","StressorB","1",31.9999999557138,0.680000000442862
"502","0401010502","StressorB","10",32.0000014098997,0.679999985901003
"503","0401010502","StressorB","100",32.0000004802471,0.679999995197529
"504","0401010502","StressorB","11",31.9999989154947,0.680000010845053
"505","0401010502","StressorB","12",32.0000004828127,0.679999995171872
"506","0401010502","StressorB","13",32.0000008586913,0.679999991413087
"507","0401010502","StressorB","14",32.000000669256,0.67999999330744
"508","0401010502","StressorB","15",31.9999990293692,0.680000009706308
"509","0401010502","StressorB","16",31.9999999938398,0.680000000061602
"510","0401010502","StressorB","17",32.0000013244245,0.679999986755755
"511","0401010502","StressorB","18",32.0000003923045,0.679999996076955
"512","0401010502","StressorB","19",31.9999988968536,0.680000011031464
"513","0401010502","StressorB","2",32.0000010640711,0.679999989359289
"514","0401010502","StressorB","20",32.0000010272764,0.679999989727236
"515","0401010502","StressorB","21",32.0000000317309,0.679999999682691
"516","0401010502","StressorB","22",32.0000010800343,0.679999989199657
"517","0401010502","StressorB","23",32.0000002258477,0.679999997741523
"518","0401010502","StressorB","24",31.9999993195242,0.680000006804758
"519","0401010502","StressorB","25",31.9999998751102,0.680000001248898
"520","0401010502","StressorB","26",31.9999995491479,0.680000004508521
"521","0401010502","StressorB","27",32.0000013254559,0.679999986745441
"522","0401010502","StressorB","28",32.0000014933828,0.679999985066172
"523","0401010502","StressorB","29",32.0000009986139,0.679999990013861
"524","0401010502","StressorB","3",31.9999985708125,0.680000014291875
"525","0401010502","StressorB","30",31.999998615133,0.68000001384867
"526","0401010502","StressorB","31",32.0000002007717,0.679999997992283
"527","0401010502","StressorB","32",31.9999998975167,0.680000001024833
"528","0401010502","StressorB","33",32.0000012957671,0.679999987042329
"529","0401010502","StressorB","34",31.9999982469256,0.680000017530744
"530","0401010502","StressorB","35",32.0000002659134,0.679999997340866
"531","0401010502","StressorB","36",32.0000002193294,0.679999997806706
"532","0401010502","StressorB","37",31.9999998896918,0.680000001103082
"533","0401010502","StressorB","38",31.9999997390039,0.680000002609961
"534","0401010502","StressorB","39",32.0000007949254,0.679999992050745
"535","0401010502","StressorB","4",31.9999993940216,0.680000006059784
"536","0401010502","StressorB","40",32.0000006965221,0.679999993034779
"537","0401010502","StressorB","41",32.0000001326771,0.679999998673229
"538","0401010502","StressorB","42",31.9999989920193,0.680000010079807
"539","0401010502","StressorB","43",32.0000001863997,0.679999998136003
"540","0401010502","StressorB","44",32.0000008105778,0.679999991894222
"541","0401010502","StressorB","45",32.0000004744727,0.679999995255273
"542","0401010502","StressorB","46",32.0000004785522,0.679999995214478
"543","0401010502","StressorB","47",31.9999991967882,0.680000008032118
"544","0401010502","StressorB","48",32.0000018638,0.679999981362
"545","0401010502","StressorB","49",32.0000006055445,0.679999993944555
"546","0401010502","StressorB","5",32.000000864378,0.67999999135622
"547","0401010502","StressorB","50",31.9999998440887,0.680000001559113
"548","0401010502","StressorB","51",32.0000009776646,0.679999990223354
"549","0401010502","StressorB","52",31.9999995247517,0.680000004752483
"550","0401010502","StressorB","53",31.9999994361868,0.680000005638132
"551","0401010502","StressorB","54",32.0000007373055,0.679999992626945
"552","0401010502","StressorB","55",31.9999999044733,0.680000000955267
"553","0401010502","StressorB","56",31.999998833373,0.68000001166627
"554","0401010502","StressorB","57",31.999999369451,0.68000000630549
"555","0401010502","StressorB","58",31.9999995102262,0.680000004897738
"556","0401010502","StressorB","59",31.9999992785147,0.680000007214853
"557","0401010502","StressorB","6",32.0000007964982,0.679999992035018
"558","0401010502","StressorB","60",32.0000003627088,0.679999996372912
"559","0401010502","StressorB","61",31.9999995173725,0.680000004826275
"560","0401010502","StressorB","62",32.0000003368249,0.679999996631751
"561","0401010502","StressorB","63",32.0000022926559,0.679999977073441
"562","0401010502","StressorB","64",32.0000010858945,0.679999989141055
"563","0401010502","StressorB","65",31.9999994448472,0.680000005551528
"564","0401010502","StressorB","66",31.9999984690115,0.680000015309885
"565","0401010502","StressorB","67",31.9999996252222,0.680000003747778
"566","0401010502","StressorB","68",32.0000004585702,0.679999995414298
"567","0401010502","StressorB","69",32.0000000630854,0.679999999369146
"568","0401010502","StressorB","7",32.0000015069634,0.679999984930366
"569","0401010502","StressorB","70",31.9999996900576,0.680000003099424
"570","0401010502","StressorB","71",31.9999999126224,0.680000000873776
"571","0401010502","StressorB","72",31.9999982482279,0.680000017517721
"572","0401010502","StressorB","73",31.9999977641418,0.680000022358582
"573","0401010502","StressorB","74",32.0000001834437,0.679999998165563
